fld_sttus,diff2,cnt
도착,20,1
도착,10,2
도착,65,1
도착,-4,67
도착,12,4
도착,78,2
도착,13,3
도착,11,1
도착,-23,3
도착,1,66
도착,-31,1
도착,26,8
도착,85,1
도착,24,9
도착,-19,4
도착,-1,71
도착,77,1
도착,-3,65
도착,-16,14
도착,30,3
도착,31,4
도착,23,17
도착,46,1
도착,-22,3
도착,-21,5
도착,-27,2
도착,-18,8
도착,-10,29
도착,28,3
도착,9,1
도착,33,2
도착,83,1
도착,0,83
도착,-26,3
도착,22,15
도착,-15,9
도착,-8,35
도착,-12,21
도착,4,24
도착,-14,19
도착,25,11
도착,-24,2
도착,14,7
도착,-6,44
도착,6,9
도착,29,5
도착,16,7
도착,27,8
도착,82,1
도착,34,1
도착,2,58
도착,-17,19
도착,17,4
도착,18,4
도착,-2,84
도착,8,3
도착,19,3
도착,3,44
도착,47,1
도착,64,1
도착,-28,2
도착,81,1
도착,-5,59
도착,-20,8
도착,21,5
도착,-7,61
도착,71,2
도착,32,3
도착,5,7
도착,15,8
도착,-13,13
도착,52,2
도착,69,1
도착,-11,32
도착,70,1
도착,76,2
도착,42,4
도착,75,1
도착,-9,28
도착,68,2
도착,-25,4
진입,51,1
진입,41,3
진입,5,29
진입,-7,22
진입,30,4
진입,31,2
진입,-33,2
진입,21,8
진입,-14,14
진입,-20,9
진입,19,7
진입,-2,27
진입,-1,26
진입,58,1
진입,11,13
진입,-28,4
진입,25,6
진입,-42,1
진입,-27,8
진입,44,3
진입,-13,17
진입,35,3
진입,-5,20
진입,-9,14
진입,22,6
진입,-21,9
진입,3,24
진입,16,6
진입,40,1
진입,34,2
진입,9,9
진입,7,16
진입,36,3
진입,14,8
진입,42,1
진입,-11,14
진입,-22,9
진입,-38,4
진입,26,2
진입,1,32
진입,4,29
진입,-23,9
진입,-19,13
진입,32,1
진입,-25,8
진입,-37,6
진입,-39,1
진입,23,10
진입,-26,4
진입,12,6
진입,-35,5
진입,-17,11
진입,0,39
진입,17,6
진입,28,5
진입,68,2
진입,52,1
진입,-34,3
진입,-31,13
진입,-41,2
진입,29,3
진입,13,11
진입,37,6
진입,-6,23
진입,8,17
진입,-10,17
진입,-36,6
진입,27,6
진입,-16,6
진입,24,8
진입,20,8
진입,-40,1
진입,33,1
진입,18,18
진입,-30,5
진입,-4,27
진입,-8,13
진입,45,3
진입,15,8
진입,-24,6
진입,6,21
진입,-29,3
진입,49,4
진입,-18,10
진입,10,17
진입,2,24
진입,61,1
진입,-43,2
진입,-12,20
진입,38,7
진입,-15,10
진입,-32,4
진입,-3,21
출발,12,3
출발,-17,1
출발,-5,25
출발,1,49
출발,28,2
출발,34,3
출발,19,1
출발,29,4
출발,-11,7
출발,-2,69
출발,-7,5
출발,13,2
출발,-3,49
출발,14,4
출발,4,47
출발,-1,60
출발,26,4
출발,5,33
출발,-10,2
출발,7,13
출발,-14,1
출발,30,3
출발,-6,11
출발,6,22
출발,15,4
출발,22,2
출발,33,2
출발,16,2
출발,31,2
출발,-19,1
출발,8,13
출발,-9,4
출발,41,1
출발,10,5
출발,-4,36
출발,0,47
출발,3,51
출발,39,3
출발,38,1
출발,23,3
출발,27,1
출발,-12,5
출발,35,1
출발,36,2
출발,24,3
출발,-8,2
출발,40,1
출발,2,34
출발,9,7
출발,21,2
출발,42,1
